player,1st_srv_perc,1st_srv_pts_perc,2nd_srv_perc,srv_pts_won_perc,bp_svd_perc,srv_gm_won_perc,1st_rtn_pts_perc,2nd_rtn_pts_perc,rtn_gm_won_perc,bp_conv_perc,rtn_pts_won_perc,aces_per_match,df_per_match,Score,Ranking
Elena Rybakina,0.09,0.97,0.81,0.95,0.97,0.96,0.27,0.55,0.24,0.17,0.31,36.4,2.8,3.4805999999999995,1
Caroline Garcia,0.32,0.98,0.91,0.96,1.1,1.43,0.05,0.01,0.0,0.01,0.0,41.85,2.94,3.1199624999999997,2
Emina Bektas,0.77,0.93,0.93,0.97,0.17,0.95,-0.01,0.03,-0.1,0.35,0.0,29.12,4.35,3.0900000000000007,3
Taylor Townsend,0.79,0.76,0.98,0.94,0.94,0.93,0.12,0.18,0.1,0.07,0.1,15.22,14.81,2.666,4
Veronika Kudermetova,0.32,0.73,0.67,0.74,0.41,0.7,0.6,0.13,0.37,0.33,0.35,24.57,12.14,2.4155857142857142,5
Qinwen Zheng,-0.26,0.98,0.4,0.82,0.85,0.87,0.25,0.63,0.36,0.47,0.34,55.99,0.44,2.3882814814814814,6
Madison Keys,0.82,0.78,0.7,0.9,0.93,0.91,0.66,0.77,0.8,0.47,0.76,13.08,21.94,2.1667333333333336,7
Karolina Pliskova,0.78,0.99,0.02,0.67,0.62,0.85,0.11,0.44,0.31,0.7,0.23,59.0,-0.21,2.0983333333333336,8
Aryna Sabalenka,0.36,0.96,0.88,0.98,0.96,0.98,0.65,0.7,0.66,0.25,0.76,48.4,0.61,2.08071884057971,9
Petra Martic,0.15,0.86,0.79,0.86,0.47,0.93,0.07,0.11,0.03,0.11,0.03,38.72,9.39,1.7770666666666664,10
Liudmila Samsonova,-0.07,1.01,0.64,0.88,0.68,1.1,0.37,0.22,0.24,0.3,0.3,57.32,-0.45,1.7508482758620696,11
Karolina Muchova,0.92,1.04,1.88,1.33,1.66,2.14,1.18,0.17,1.02,1.03,0.78,16.61,21.6,1.7250122448979595,12
Yue Yuan,0.0,0.71,0.92,0.67,0.64,0.7,1.05,0.22,0.53,0.28,0.67,8.98,31.15,1.7156352941176471,13
Rebeka Masarova,0.75,0.52,0.39,0.79,0.67,0.59,-0.23,-0.86,-1.35,-1.34,-0.68,37.46,4.89,1.7115333333333334,14
Ana Bogdan,0.77,0.37,1.02,0.52,0.14,0.51,0.64,0.85,0.6,1.02,0.64,6.56,32.78,1.6416,15
Tatjana Maria,-0.74,0.44,0.16,0.19,-0.74,-0.12,0.71,0.12,0.5,0.77,0.46,21.71,14.2,1.6360333333333332,16
Mayar Sherif,0.96,0.11,0.89,0.49,0.56,0.47,0.15,0.02,0.03,0.02,0.03,1.86,38.36,1.5833142857142857,17
Magdalena Frech,0.95,0.42,0.83,0.55,0.26,0.64,0.29,0.87,0.42,0.5,0.36,5.94,31.38,1.5148000000000001,18
Coco Gauff,-0.07,0.75,0.71,0.78,0.65,0.76,0.84,0.69,0.83,0.75,0.84,23.88,8.4,1.5088060606060605,19
Magda Linette,1.39,0.45,0.91,0.66,0.11,0.83,0.4,0.25,0.34,0.16,0.26,1.23,36.5,1.4337076923076926,20
Elina Svitolina,0.29,0.48,0.25,0.56,0.37,0.33,0.76,0.47,0.51,0.88,0.68,18.34,13.38,1.4254307692307693,21
Maria Sakkari,0.29,0.86,0.84,0.79,1.26,1.46,0.46,0.42,0.35,0.2,0.46,21.79,9.85,1.3762222222222227,22
Jaqueline Cristian,0.83,0.14,0.08,0.05,-0.5,-0.28,1.07,0.03,0.2,0.89,0.28,10.92,21.63,1.360514285714286,23
Ons Jabeur,-1.17,0.71,0.2,0.39,0.16,0.13,0.87,0.5,0.8,0.67,0.86,15.56,12.29,1.35571320754717,24
Iga Swiatek,0.74,0.91,0.99,0.99,0.27,0.97,0.94,0.99,0.97,0.98,0.97,-10.12,40.7,1.315587341772152,25
Jessica Pegula,0.21,0.66,1.07,0.83,0.62,1.11,0.96,0.98,1.54,1.01,0.98,1.65,26.35,1.2107999999999999,26
Sorana Cirstea,0.42,0.52,0.58,0.59,0.64,0.56,0.25,0.22,0.12,0.22,0.2,4.44,24.55,1.1932666666666671,27
Jodie Burrage,0.54,0.29,0.29,0.16,0.17,0.17,0.46,0.15,0.54,1.8,0.17,23.05,6.81,1.1557555555555554,28
Mirra Andreeva,0.14,0.44,0.94,0.74,0.78,0.77,0.45,-0.06,0.47,0.54,0.27,-8.47,37.43,1.1486727272727277,29
Greet Minnen,0.36,0.42,0.42,0.35,0.92,0.52,0.1,0.87,0.44,0.09,0.46,9.75,18.62,1.0346909090909095,30
Marie Bouzkova,1.92,0.49,1.25,0.87,0.96,1.14,0.97,0.7,1.32,1.27,0.86,-5.96,35.21,0.9967333333333339,31
Caroline Dolehide,0.97,0.46,-0.55,0.56,1.44,0.73,0.4,0.01,0.2,0.62,0.18,31.27,-4.72,0.9934285714285718,32
Diane Parry,0.14,0.37,0.61,0.35,-0.21,0.41,0.13,0.06,-0.21,0.06,0.06,3.76,23.36,0.9758,33
Petra Kvitova,0.39,1.12,0.68,0.93,0.93,1.35,0.05,0.44,0.03,0.53,0.21,47.61,-19.12,0.9656976744186045,34
Lucia Bronzetti,0.43,0.2,0.56,0.29,0.46,-0.07,0.81,0.7,0.68,0.67,0.82,-9.75,33.64,0.9473238095238095,35
Claire Liu,0.59,0.27,0.32,0.27,0.26,0.26,0.18,0.38,0.09,0.2,0.15,1.42,21.53,0.9093294117647059,36
Beatriz Haddad Maia,2.29,0.73,1.24,1.13,0.99,1.8,0.94,0.49,0.59,0.39,0.66,-1.82,21.24,0.8823818181818179,37
Diana Shnaider,0.05,0.18,0.43,0.17,-0.11,0.19,0.13,0.9,0.97,0.99,0.63,-5.87,24.75,0.876740740740741,38
Paula Badosa,-0.67,1.29,1.03,1.0,1.15,1.63,0.87,0.72,0.95,0.3,0.76,27.55,-10.89,0.8671851851851855,39
Barbora Krejcikova,0.03,1.3,0.63,0.91,0.81,1.38,0.77,0.57,0.83,1.26,0.67,17.31,-3.76,0.8558000000000003,40
Bianca Andreescu,0.69,0.32,0.68,0.53,0.8,0.54,0.01,0.2,-0.36,0.43,0.09,-0.94,14.69,0.8436774193548389,41
Xiyu Wang,0.68,0.78,0.3,0.8,0.86,0.67,0.06,0.29,0.05,0.05,0.08,33.0,-17.55,0.7958000000000003,42
Jelena Ostapenko,0.15,0.98,0.29,0.61,0.55,0.88,0.63,0.99,1.26,0.82,0.87,27.87,-14.55,0.7514203389830514,43
Ashlyn Krueger,1.07,1.23,0.54,0.95,-0.55,1.37,0.66,0.09,0.13,-0.35,0.3,-0.45,12.73,0.7378,44
Linda Noskova,0.45,1.25,0.43,1.11,1.39,1.42,-0.15,0.47,0.25,1.12,0.19,17.1,-7.36,0.7293435897435896,45
Nao Hibino,1.12,-1.5,0.76,-0.68,-0.48,-0.96,-0.65,0.68,0.07,1.47,-0.2,-19.91,30.08,0.7268380952380953,46
Yulia Putintseva,1.65,-0.03,0.24,0.44,0.85,0.28,0.69,0.45,0.42,0.39,0.64,-24.46,33.41,0.7121555555555554,47
Jasmine Paolini,1.71,0.03,1.37,0.39,0.5,0.26,0.88,0.32,0.59,0.32,0.56,-27.08,35.67,0.6904297872340426,48
Kayla Day,-0.27,0.09,-0.3,-0.19,0.61,-0.29,-0.2,-0.66,-0.88,-0.17,-0.38,-7.21,13.36,0.6837111111111112,49
Belinda Bencic,0.28,0.89,0.92,0.92,0.84,1.25,0.33,0.66,0.36,0.63,0.51,9.01,-9.17,0.6646727272727273,50
Lin Zhu,1.09,0.2,0.89,0.42,0.83,0.44,0.41,1.0,0.8,1.01,0.67,-20.77,22.72,0.6383846153846153,51
Sloane Stephens,2.2,-0.17,0.83,0.34,0.11,0.21,0.77,0.65,1.2,1.37,0.71,-26.69,28.39,0.6267000000000003,52
Yafan Wang,-0.82,1.88,0.29,1.46,1.05,1.81,-0.93,-0.36,-0.89,-1.81,-0.4,5.52,-7.34,0.6212,53
Danielle Collins,-0.44,0.64,0.6,0.66,0.12,0.63,-0.28,0.1,-0.54,0.39,-0.07,14.63,-18.25,0.6129111111111114,54
Arantxa Rus,0.76,0.18,0.83,0.41,0.45,0.42,0.75,0.18,0.12,-0.04,0.39,-3.83,-0.03,0.5845882352941174,55
Sofia Kenin,1.0,0.49,0.89,0.74,0.37,0.87,0.18,0.44,0.19,0.16,0.21,-19.26,14.85,0.5310153846153847,56
Katie Boulter,0.17,1.3,0.15,0.58,1.4,1.07,0.51,0.63,0.75,0.5,0.59,20.9,-28.25,0.5023428571428572,57
Alycia Parks,-0.76,1.51,-0.11,0.45,0.49,0.45,-0.57,-0.42,-0.92,-0.38,-0.47,41.57,-54.42,0.49287058823529417,58
Donna Vekic,-0.32,1.65,0.62,1.27,1.4,1.37,0.69,1.34,0.62,0.77,0.87,18.51,-29.02,0.4775346938775513,59
Marketa Vondrousova,0.28,0.21,0.7,0.6,-0.42,0.51,0.85,0.84,1.02,0.11,0.88,-3.45,-9.77,0.47701886792452797,60
Xinyu Wang,0.24,0.62,1.79,0.62,0.98,1.12,0.99,0.57,1.08,0.78,0.6,-14.35,3.34,0.4476869565217394,61
Victoria Azarenka,0.94,1.18,-0.14,1.12,0.83,1.21,0.94,1.73,1.39,0.41,1.16,4.74,-20.16,0.4440095238095241,62
Zhu Oxuanbai,-0.69,-0.57,-0.27,-0.59,-1.21,-0.83,0.3,-1.89,-1.69,-1.45,-1.03,-27.79,15.45,0.4418000000000002,63
Anna Kalinskaya,0.69,0.54,0.5,0.63,0.29,0.49,0.18,0.76,0.56,0.96,0.46,-18.24,2.34,0.39237931034482765,64
Aliaksandra Sasnovich,1.8,0.16,0.38,0.2,0.55,0.36,0.2,1.14,0.47,1.67,0.44,-9.95,-5.71,0.36024324324324364,65
Emma Navarro,0.02,-0.43,1.01,-0.04,-0.46,-0.21,0.79,0.76,1.09,1.36,0.8,-30.18,12.4,0.3556666666666668,66
Irina-Camelia Begu,0.99,0.05,0.09,0.28,0.77,-0.47,0.61,0.47,0.69,0.13,0.67,-4.69,-15.5,0.34553846153846157,67
Varvara Gracheva,0.42,0.7,0.73,0.67,0.89,1.18,0.44,0.31,0.4,1.16,0.37,-23.58,2.07,0.330982608695652,68
Yanina Wickmayer,2.18,0.59,0.05,0.23,2.3,0.09,2.57,1.49,3.54,4.54,2.41,-6.66,-17.24,0.3180666666666667,69
Anna Blinkova,-0.45,0.62,0.34,0.05,0.0,0.12,1.0,0.27,0.65,0.46,0.56,1.58,-26.21,0.31579999999999986,70
Leylah Fernandez,0.07,0.64,0.81,0.92,-0.04,1.37,-0.81,0.13,-0.11,0.49,-0.37,-0.87,-27.65,0.315774468085106,71
Anna Karolina Schmiedlova,-1.9,-0.42,-1.12,-0.99,-0.45,-1.92,0.23,0.56,0.81,-0.01,0.54,-15.28,-12.03,0.31099999999999994,72
Ekaterina Alexandrova,-1.77,1.36,0.46,0.81,1.29,1.14,-0.01,0.47,-0.86,0.86,0.08,18.03,-55.46,0.30434814814814803,73
Anastasia Pavlyuchenkova,0.21,0.45,0.37,0.46,0.95,0.19,0.3,0.86,0.44,0.26,0.7,-3.02,-30.71,0.2938153846153848,74
Lauren Davis,0.41,0.2,0.56,0.23,0.17,0.19,0.55,0.21,0.52,0.93,0.39,-27.82,-2.45,0.2393333333333334,75
Peyton Stearns,1.54,-0.13,0.94,0.25,0.96,0.0,0.63,1.68,1.4,1.37,1.03,-31.39,-2.31,0.22306666666666675,76
Elina Avanesyan,0.88,-0.81,-0.86,-0.74,-0.92,-1.45,0.93,0.93,0.92,0.34,0.92,-39.75,4.97,0.21723809523809545,77
Bernarda Pera,0.87,0.46,0.63,0.42,1.43,0.65,0.28,0.57,0.23,0.33,0.22,5.6,-43.85,0.13860000000000028,78
Elisabetta Cocciaretto,0.66,-0.81,0.99,-0.17,0.31,-0.41,0.77,0.58,0.94,0.77,0.79,-33.25,-2.84,0.13311428571428574,79
Anhelina Kalinina,0.34,0.36,0.48,0.35,0.54,0.25,0.29,0.85,0.5,0.58,0.61,-18.86,-17.96,0.113391836734694,80
Viktorija Golubic,0.85,0.14,0.17,0.2,0.12,0.01,-0.02,0.42,-0.08,-0.03,0.05,-46.52,8.56,0.08405000000000018,81
Viktoriya Tomova,0.93,-0.09,0.03,-0.02,-0.14,-0.63,0.42,0.05,0.05,0.07,0.15,-32.9,-1.41,0.0578545454545456,82
Tamara Korpatsch,-0.49,-0.36,0.04,-0.44,-0.24,-0.9,0.91,0.71,0.79,0.45,0.89,-25.82,-13.42,0.04984444444444458,83
Laura Siegemund,1.36,0.24,0.4,0.51,0.92,0.63,0.3,0.32,0.26,0.48,0.23,-46.31,3.69,-0.04139999999999988,84
Daria Kasatkina,3.43,0.11,0.03,0.14,0.8,0.09,2.27,2.53,3.08,1.93,2.36,-37.32,-4.27,-0.07419999999999982,85
Clara Burel,-0.73,-0.1,0.15,-0.35,-0.3,-0.53,1.94,0.06,2.0,1.01,1.56,-20.89,-20.83,-0.07833846153846169,86
Nadia Podoroska,0.08,-0.81,-0.44,-0.7,-1.31,-1.22,0.2,-0.63,-0.43,0.83,-0.14,-25.88,-15.36,-0.08386666666666631,87
Martina Trevisan,0.72,-0.5,0.51,0.01,0.22,-0.82,0.58,0.46,0.49,0.55,0.56,-45.93,-0.45,-0.10031111111111102,88
Cristina Bucsa,0.66,0.0,0.07,0.01,0.04,-0.05,0.45,0.23,0.55,0.55,0.35,-36.84,-5.73,-0.1532965517241378,89
Kamilla Rakhimova,0.21,0.3,0.21,0.13,0.0,0.15,0.34,0.77,0.34,0.84,0.49,-30.88,-11.64,-0.22114782608695638,90
Katerina Siniakova,0.78,0.44,0.25,0.31,0.07,0.4,1.15,0.97,1.66,0.38,1.01,-13.83,-31.99,-0.3050974358974359,91
Elise Mertens,-0.71,0.66,-0.26,0.19,0.06,-0.12,0.83,0.84,1.05,0.48,0.89,-0.69,-59.15,-0.3139795918367345,92
Lesia Tsurenko,0.86,-0.26,0.11,-0.02,0.07,-0.8,0.98,0.84,1.77,0.89,0.98,-53.26,-0.04,-0.3348,93
Marta Kostyuk,0.09,0.68,0.17,0.39,0.25,0.49,0.66,0.4,0.56,0.25,0.56,-6.4,-49.89,-0.36614418604651133,94
Anastasia Potapova,0.0,0.38,0.3,0.22,0.63,0.03,0.82,0.6,0.81,0.13,0.86,-19.24,-30.96,-0.38163829787234027,95
Camila Giorgi,0.06,0.74,0.42,0.54,0.67,0.53,0.44,0.9,0.84,0.43,0.7,-7.08,-51.33,-0.512142857142857,96
Linda Fruhvirtova,0.51,0.51,-0.31,0.08,0.21,-0.27,0.86,0.15,0.61,0.9,0.64,-9.39,-46.19,-0.5343351351351351,97
Oceane Dodin,0.19,0.53,0.01,0.04,0.74,0.04,0.04,0.8,0.36,0.12,0.56,-7.51,-50.4,-0.5992666666666664,98
Sara Sorribes Tormo,0.91,0.07,0.06,0.05,0.33,0.08,0.99,0.97,0.99,0.99,0.99,-29.52,-15.15,-0.8184370370370369,99
Camila Osorio,0.67,0.18,0.09,0.09,0.2,0.13,0.51,0.83,0.75,0.35,0.79,-20.09,-13.08,-1.1852749999999999,100
